source,metric,human_n,human_mean,human_std,machine_n,machine_mean,machine_std,difference,abs_difference,u_statistic,u_p_value,cohens_d,effect_size,significant_005,significant_001,characteristic_of
faketruebr,adj (Adjectives),10,2.5407221523003543,1.616256010708683,10,4.9646046904815755,1.469699346276808,-2.4238825381812212,2.4238825381812212,14.0,0.00728455700947966,-1.5691436905540472,large,True,True,machine
faketruebr,work (Work),10,2.6419849027491007,2.496113408093959,10,5.537930371557227,2.0668301934532765,-2.8959454688081263,2.8959454688081263,16.0,0.01120695479765041,-1.2637516539899765,large,True,False,machine
faketruebr,negemo (Negative Emotions),10,1.0561872569068405,1.0647645437846796,10,2.3236769881493546,1.210299425919433,-1.2674897312425142,1.2674897312425142,17.0,0.013839592491786517,-1.1119725234106324,large,True,False,machine
faketruebr,verb (Verbs),10,10.310848701936797,3.1480745872690723,10,7.413378595407659,1.9567145734182065,2.8974701065291377,2.8974701065291377,77.0,0.04515456962427901,1.1054897804901918,large,True,False,human
faketruebr,percept (Perceptual Processes),10,2.4307026011801507,1.2115918663139147,10,1.315259477363512,0.7901574215873075,1.1154431238166387,1.1154431238166387,78.0,0.03749166577977576,1.090561287528626,large,True,False,human
faketruebr,achieve (Achievement),10,0.9160175541265538,0.6518810511624917,10,1.6717228712028571,0.7680837422000679,-0.7557053170763033,0.7557053170763033,23.0,0.04507378631623227,-1.0608537599817793,large,True,False,machine
faketruebr,see (See),10,1.5458069952808084,0.9835933377271638,10,0.707490913985983,0.582957809544594,0.8383160812948255,0.8383160812948255,76.0,0.052103488521841726,1.0368976377943637,large,False,False,human
faketruebr,affect (Affect),10,3.4716133773968343,1.8910351165690316,10,5.121474317548091,1.3253239329367013,-1.6498609401512567,1.6498609401512567,24.0,0.053902557169387175,-1.0104085557874862,large,False,False,machine
faketruebr,auxverb (Auxiliary Verbs),10,4.669443282587461,1.5537515684748964,10,3.2284177786380233,1.308555982942411,1.441025503949438,1.441025503949438,72.0,0.10397974445898675,1.0032235152361653,large,False,False,human
faketruebr,cause (Causal),10,2.6500893674473884,1.756725942899245,10,3.907374257555148,0.8092476554142068,-1.2572848901077593,1.2572848901077593,29.0,0.12108458343032173,-0.9192988328293439,large,False,False,machine
faketruebr,insight (Insight),10,1.0179561190376147,0.9728634907073505,10,1.8551786776777786,0.8555581211444225,-0.8372225586401638,0.8372225586401638,25.0,0.06362233260013418,-0.9139082796546166,large,False,False,machine
faketruebr,pronoun (Pronouns),10,17.12486977378122,2.6729816691034287,10,15.11941535424335,1.661896501676827,2.0054544195378714,2.0054544195378714,69.0,0.16197241048012612,0.9010784607535783,large,False,False,human
faketruebr,quant (Quantifiers),10,1.5494927713191395,0.9383648256761723,10,0.9366856972973249,0.30174107998383953,0.6128070740218147,0.6128070740218147,71.0,0.12108458343032173,0.8792256072095861,large,False,False,human
faketruebr,compare (Comparisons),10,1.0266054456122649,0.8994745863365169,10,1.659496862326381,0.5502016083761062,-0.6328914167141162,0.6328914167141162,33.0,0.2105704460493273,-0.8488588671576244,large,False,False,machine
faketruebr,home (Home),10,0.0,0.0,10,0.2191068269835393,0.37255863770709063,-0.2191068269835393,0.2191068269835393,30.0,0.03498309640812092,-0.8317183255653694,large,True,False,machine
faketruebr,informal (Informal Language),10,1.5271813253209117,1.7444616973985299,10,0.4661983974169465,0.5784862706907972,1.060982927903965,1.060982927903965,73.0,0.08476721358002276,0.816407299900726,large,False,False,human
faketruebr,netspeak (Netspeak),10,1.2608763552040863,1.6176358724142883,10,0.29633204633204635,0.6204101302724168,0.9645443088720399,0.9645443088720399,70.0,0.09616003338325603,0.7873300480473395,medium,False,False,human
faketruebr,we (We),10,0.7689238486092111,1.1640515238899312,10,0.1258231119185614,0.1555325015086774,0.6431007366906497,0.6431007366906497,58.0,0.522232153437141,0.7744250408046669,medium,False,False,human
faketruebr,ppron (Personal Pronouns),10,9.798639361309952,2.0502027985142592,10,8.545788793198323,1.0793505442306428,1.2528505681116293,1.2528505681116293,68.0,0.18587673236587576,0.7647063660039648,medium,False,False,human
faketruebr,you (You),10,1.411178293831756,1.4933590783581308,10,0.5456911963634752,0.5841196251026876,0.8654870974682809,0.8654870974682809,62.0,0.37442311052425215,0.7633044230376722,medium,False,False,human
faketruebr,sad (Sad),10,0.1492537313432836,0.44776119402985076,10,0.4762877172395224,0.43489154743855785,-0.3270339858962388,0.3270339858962388,23.5,0.02653103775058696,-0.7409464971766236,medium,True,False,machine
faketruebr,conj (Conjunctions),10,8.697822619944022,1.5492990535563582,10,7.603868989382724,1.554516107066448,1.0939536305612982,1.0939536305612982,65.5,0.25666036991585695,0.7049080106894661,medium,False,False,human
faketruebr,nonflu (Nonfluencies),10,0.11587410083650684,0.2361005204215122,10,0.0,0.0,0.11587410083650684,0.11587410083650684,60.0,0.16807831903497028,0.6940718497283099,medium,False,False,human
faketruebr,relig (Religion),10,0.11907131011608625,0.24752131287370913,10,0.0,0.0,0.11907131011608625,0.11907131011608625,60.0,0.16807831903497028,0.6803141907283732,medium,False,False,human
faketruebr,function (Function Words),10,45.346613932148514,5.020728687207804,10,42.77963903497013,1.8156980325570933,2.5669748971783832,2.5669748971783832,66.0,0.24132159301718004,0.6799548712033476,medium,False,False,human
faketruebr,health (Health),10,0.0746268656716418,0.22388059701492538,10,0.3114532005735611,0.4496502319219109,-0.2368263349019193,0.2368263349019193,27.0,0.0459638376053142,-0.6667754604232992,medium,True,False,machine
faketruebr,dictionary_coverage,10,67.64473737280657,7.29303979474917,10,71.24701854354986,2.936501158102572,-3.6022811707432822,3.6022811707432822,35.0,0.27303633975118835,-0.6479747384716381,medium,False,False,machine
faketruebr,family (Family),10,0.08888888888888888,0.26666666666666666,10,0.26058617075880147,0.2643960109026007,-0.1716972818699126,0.1716972818699126,28.0,0.05651717597829673,-0.6466118584654685,medium,False,False,machine
faketruebr,prep (Prepositions),10,19.982045204968927,3.261266616717158,10,21.704505903759014,1.9997523311358971,-1.722460698790087,1.722460698790087,34.0,0.24132159301718004,-0.6367513797595539,medium,False,False,machine
faketruebr,focuspresent (Present Focus),10,5.633715953919085,2.1607283211401898,10,4.534991109775154,1.1508414357536803,1.0987248441439306,1.0987248441439306,71.0,0.12122450301291662,0.6347097609691154,medium,False,False,human
faketruebr,social (Social),10,8.816404847148295,3.9900598501755398,10,6.792362878392351,2.19722465152768,2.0240419687559443,2.0240419687559443,64.0,0.3074894566186813,0.6284091206195143,medium,False,False,human
faketruebr,cogproc (Cognitive Processes),10,9.65501195182121,2.8227568110438668,10,11.080995091225368,1.7819294103873322,-1.425983139404158,1.425983139404158,36.5,0.3255694067409992,-0.6041209149839001,medium,False,False,machine
faketruebr,article (Articles),10,13.427325966532075,3.8077683924214023,10,15.294875604577078,2.3526700026815424,-1.867549638045002,1.867549638045002,40.0,0.47267559351158717,-0.5900674023418848,medium,False,False,machine
faketruebr,anx (Anx),10,0.40712627840361265,0.5856993243484704,10,0.7013513640478258,0.3930528276202717,-0.2942250856442132,0.2942250856442132,30.0,0.13203893667369285,-0.5899065465529293,medium,False,False,machine
faketruebr,male (Male),10,1.227052431494681,0.9950621151574216,10,0.719535141664062,0.7586524416219229,0.507517289830619,0.507517289830619,66.0,0.23124249716061973,0.5736028062475396,medium,False,False,human
